ACCIDENT_DATE,TOTAL_ACCIDENTS,Rainfall
2013-07-02,4,0.0
2013-07-03,1,8.2
2013-07-04,2,0.0
2013-07-05,3,11.6
2013-07-06,2,0.0
2013-07-07,1,0.0
2013-07-08,2,0.0
2013-07-09,1,0.0
2013-07-10,4,0.0
2013-07-11,3,0.0
2013-07-12,1,0.2
2013-07-13,6,0.0
2013-07-14,0,0.0
2013-07-15,1,0.0
2013-07-16,1,0.0
2013-07-17,0,0.0
2013-07-18,3,0.0
2013-07-19,1,0.0
2013-07-20,2,0.0
2013-07-21,1,5.0
2013-07-22,1,0.0
2013-07-23,1,0.0
2013-07-24,1,0.0
2013-07-25,2,0.0
2013-07-26,3,0.0
2013-07-27,0,0.0
2013-07-28,1,0.0
2013-07-29,3,0.0
2013-07-30,0,0.0
2013-07-31,1,0.0
2013-08-01,2,0.0
2013-08-02,2,2.6
2013-08-03,6,0.0
2013-08-04,2,0.0
2013-08-05,1,0.0
2013-08-06,2,0.0
2013-08-07,4,0.0
2013-08-08,1,0.0
2013-08-09,5,0.0
2013-08-10,1,0.0
2013-08-11,0,0.0
2013-08-12,3,15.0
2013-08-13,2,2.0
2013-08-14,3,0.0
2013-08-15,1,0.0
2013-08-16,5,0.0
2013-08-17,2,0.0
2013-08-18,1,35.2
2013-08-19,0,0.0
2013-08-20,3,9.2
2013-08-21,4,0.0
2013-08-22,3,0.0
2013-08-23,0,0.0
2013-08-24,2,0.0
2013-08-25,1,0.0
2013-08-26,2,0.0
2013-08-27,3,0.0
2013-08-28,4,0.4
2013-08-29,0,0.0
2013-08-30,2,1.0
2013-08-31,1,1.2
2013-09-01,1,0.2
2013-09-02,1,0.0
2013-09-03,5,0.0
2013-09-04,2,0.0
2013-09-05,3,0.2
2013-09-06,1,0.0
2013-09-07,3,0.0
2013-09-08,1,0.0
2013-09-09,2,0.0
2013-09-10,1,0.0
2013-09-11,5,8.0
2013-09-12,0,0.4
2013-09-13,2,0.0
2013-09-14,0,0.0
2013-09-15,2,0.0
2013-09-16,4,0.0
2013-09-17,5,0.0
2013-09-18,3,0.0
2013-09-19,2,0.2
2013-09-20,0,0.2
2013-09-21,4,3.6
2013-09-22,1,0.4
2013-09-23,4,0.6
2013-09-24,3,0.0
2013-09-25,2,0.0
2013-09-26,1,0.0
2013-09-27,3,0.0
2013-09-28,1,1.0
2013-09-29,2,5.0
2013-09-30,5,0.4
2013-10-01,3,0.0
2013-10-02,5,0.0
2013-10-03,2,2.2
2013-10-04,8,0.2
2013-10-05,4,0.0
2013-10-06,1,0.0
2013-10-07,0,0.0
2013-10-08,0,0.0
2013-10-09,3,2.2
2013-10-10,4,0.0
2013-10-11,3,0.0
2013-10-12,5,0.0
2013-10-13,0,3.8
2013-10-14,2,0.0
2013-10-15,1,0.2
2013-10-16,5,1.0
2013-10-17,1,0.0
2013-10-18,4,0.0
2013-10-19,0,0.0
2013-10-20,3,0.0
2013-10-21,2,0.0
2013-10-22,3,0.0
2013-10-23,4,0.0
2013-10-24,2,0.0
2013-10-25,3,4.2
2013-10-26,0,0.0
2013-10-27,4,0.6
2013-10-28,1,0.0
2013-10-29,4,0.0
2013-10-30,5,0.0
2013-10-31,4,0.0
2013-11-01,1,0.0
2013-11-02,2,16.8
2013-11-03,0,4.8
2013-11-04,1,0.0
2013-11-05,3,2.6
2013-11-06,0,2.8
2013-11-07,2,0.6
2013-11-08,5,2.8
2013-11-09,1,0.2
2013-11-10,1,0.0
2013-11-11,5,0.0
2013-11-12,4,0.0
2013-11-13,1,0.6
2013-11-14,2,0.0
2013-11-15,2,0.0
2013-11-16,2,0.0
2013-11-17,3,0.4
2013-11-18,5,8.0
2013-11-19,1,1.8
2013-11-20,3,0.0
2013-11-21,2,0.0
2013-11-22,4,3.8
2013-11-23,5,0.0
2013-11-24,0,0.0
2013-11-25,1,0.0
2013-11-26,0,0.0
2013-11-27,2,0.0
2013-11-28,2,0.0
2013-11-29,2,0.0
2013-11-30,2,0.0
2013-12-01,3,0.0
2013-12-02,0,0.0
2013-12-03,4,8.6
2013-12-04,4,0.0
2013-12-05,5,5.6
2013-12-06,1,0.0
2013-12-07,2,0.0
2013-12-08,0,0.0
2013-12-09,2,0.0
2013-12-10,1,4.4
2013-12-11,3,0.0
2013-12-12,1,3.4
2013-12-13,4,4.4
2013-12-14,3,0.0
2013-12-15,4,4.8
2013-12-16,2,2.2
2013-12-17,4,1.4
2013-12-18,2,7.2
2013-12-19,1,0.0
2013-12-20,5,6.0
2013-12-21,0,1.4
2013-12-22,0,0.0
2013-12-23,1,0.0
2013-12-24,0,0.0
2013-12-25,2,0.0
2013-12-26,0,1.4
2013-12-27,0,0.2
2013-12-28,4,0.0
2013-12-29,0,0.0
2013-12-30,0,0.0
2013-12-31,0,0.0
2014-01-01,3,5.8
2014-01-02,2,6.2
2014-01-03,1,0.0
2014-01-04,2,3.8
2014-01-05,1,0.0
2014-01-06,1,0.0
2014-01-07,1,2.6
2014-01-08,1,0.6
2014-01-09,3,0.0
2014-01-10,0,0.0
2014-01-11,1,0.6
2014-01-12,0,0.0
2014-01-13,2,3.0
2014-01-14,2,0.0
2014-01-15,7,0.0
2014-01-16,1,0.0
2014-01-17,3,4.4
2014-01-18,5,1.2
2014-01-19,4,0.0
2014-01-20,3,0.0
2014-01-21,7,0.0
2014-01-22,5,0.0
2014-01-23,3,0.0
2014-01-24,0,1.8
2014-01-25,3,0.0
2014-01-26,1,17.4
2014-01-27,0,0.0
2014-01-28,3,0.0
2014-01-29,2,0.0
2014-01-30,2,0.0
2014-01-31,5,9.4
2014-02-01,4,12.0
2014-02-02,1,22.6
2014-02-03,4,1.6
2014-02-04,1,0.0
2014-02-05,2,1.4
2014-02-06,4,0.0
2014-02-07,1,6.8
2014-02-08,2,0.0
2014-02-09,2,2.4
2014-02-10,1,0.0
2014-02-11,3,3.8
2014-02-12,4,0.6
2014-02-13,4,5.2
2014-02-14,2,0.0
2014-02-15,0,0.2
2014-02-16,3,0.0
2014-02-17,2,0.0
2014-02-18,4,20.0
2014-02-19,4,1.2
2014-02-20,2,0.0
2014-02-21,0,0.0
2014-02-22,3,0.0
2014-02-23,2,0.2
2014-02-24,3,0.2
2014-02-25,0,0.0
2014-02-26,3,0.0
2014-02-27,1,23.0
2014-02-28,4,1.8
2014-03-01,1,14.2
2014-03-02,3,21.4
2014-03-03,5,0.6
2014-03-04,0,0.2
2014-03-05,1,5.0
2014-03-06,3,0.2
2014-03-07,3,0.0
2014-03-08,3,0.0
2014-03-09,1,2.4
2014-03-10,1,2.8
2014-03-11,1,2.4
2014-03-12,0,0.4
2014-03-13,4,0.0
2014-03-14,2,0.0
2014-03-15,0,0.8
2014-03-16,3,0.0
2014-03-17,2,2.8
2014-03-18,4,2.8
2014-03-19,2,22.2
2014-03-20,4,0.0
2014-03-21,4,0.0
2014-03-22,5,0.0
2014-03-23,1,0.0
2014-03-24,3,0.0
2014-03-25,4,0.0
2014-03-26,6,0.0
2014-03-27,2,0.0
2014-03-28,4,0.0
2014-03-29,2,0.0
2014-03-30,3,0.0
2014-03-31,3,0.0
2014-04-01,1,0.0
2014-04-02,1,0.6
2014-04-03,2,7.0
2014-04-04,3,15.4
2014-04-05,2,4.8
2014-04-06,1,28.2
2014-04-07,2,22.4
2014-04-08,1,0.0
2014-04-09,7,0.0
2014-04-10,2,0.0
2014-04-11,0,0.0
2014-04-12,0,0.0
2014-04-13,2,0.0
2014-04-14,3,0.2
2014-04-15,2,0.0
2014-04-16,2,0.0
2014-04-17,1,0.0
2014-04-18,1,0.0
2014-04-19,1,0.0
2014-04-20,1,0.0
2014-04-21,4,0.0
2014-04-22,1,
2014-04-23,2,82.2
2014-04-24,1,3.2
2014-04-25,1,0.0
2014-04-26,0,4.4
2014-04-27,1,0.0
2014-04-28,2,4.6
2014-04-29,4,15.4
2014-04-30,4,0.2
2014-05-01,6,
2014-05-02,4,0.0
2014-05-03,0,0.2
2014-05-04,1,0.4
2014-05-05,1,0.0
2014-05-06,4,0.0
2014-05-07,2,0.0
2014-05-08,1,11.2
2014-05-09,0,0.2
2014-05-10,3,6.2
2014-05-11,1,0.0
2014-05-12,6,0.0
2014-05-13,4,2.0
2014-05-14,3,0.2
2014-05-15,1,0.0
2014-05-16,2,0.0
2014-05-17,2,9.4
2014-05-18,3,0.2
2014-05-19,2,0.0
2014-05-20,4,0.0
2014-05-21,4,0.0
2014-05-22,3,0.0
2014-05-23,3,0.0
2014-05-24,0,21.2
2014-05-25,1,0.0
2014-05-26,1,0.0
2014-05-27,3,0.0
2014-05-28,2,6.8
2014-05-29,3,0.0
2014-05-30,6,4.2
2014-05-31,2,6.8
2014-06-01,4,11.0
2014-06-02,2,8.0
2014-06-03,3,0.0
2014-06-04,1,0.0
2014-06-05,2,0.0
2014-06-06,6,3.4
2014-06-07,0,1.2
2014-06-08,1,1.2
2014-06-09,2,0.0
2014-06-10,2,1.0
2014-06-11,2,0.0
2014-06-12,0,0.0
2014-06-13,2,0.0
2014-06-14,1,0.0
2014-06-15,0,0.0
2014-06-16,2,4.8
2014-06-17,2,
2014-06-18,4,0.2
2014-06-19,1,0.0
2014-06-20,3,0.0
2014-06-21,6,
2014-06-22,0,4.2
2014-06-23,4,0.2
2014-06-24,2,0.4
2014-06-25,7,0.0
2014-06-26,1,0.0
2014-06-27,1,0.0
2014-06-28,2,0.0
2014-06-29,2,0.0
2014-06-30,1,0.2
2014-07-01,0,0.0
2014-07-02,0,1.8
2014-07-03,5,2.4
2014-07-04,3,
2014-07-05,2,0.4
2014-07-06,2,7.2
2014-07-07,0,0.2
2014-07-08,2,0.0
2014-07-09,0,0.6
2014-07-10,1,0.0
2014-07-11,3,4.8
2014-07-12,5,
2014-07-13,3,0.2
2014-07-14,1,0.0
2014-07-15,1,0.4
2014-07-16,9,0.0
2014-07-17,4,0.0
2014-07-18,3,1.2
2014-07-19,1,3.4
2014-07-20,2,0.2
2014-07-21,2,2.8
2014-07-22,5,0.0
2014-07-23,2,3.6
2014-07-24,2,0.0
2014-07-25,1,0.0
2014-07-26,0,0.0
2014-07-27,3,0.0
2014-07-28,4,
2014-07-29,3,0.2
2014-07-30,0,0.0
2014-07-31,2,0.0
2014-08-01,4,0.0
2014-08-02,2,0.0
2014-08-03,3,0.0
2014-08-04,3,0.0
2014-08-05,2,0.0
2014-08-06,1,0.0
2014-08-07,4,7.8
2014-08-08,2,0.6
2014-08-09,2,0.0
2014-08-10,4,0.6
2014-08-11,1,0.0
2014-08-12,5,0.0
2014-08-13,1,0.0
2014-08-14,1,3.8
2014-08-15,6,0.0
2014-08-16,1,0.0
2014-08-17,1,0.0
2014-08-18,1,0.0
2014-08-19,3,0.0
2014-08-20,3,0.0
2014-08-21,4,46.8
2014-08-22,1,
2014-08-23,1,0.0
2014-08-24,3,0.0
2014-08-25,2,
2014-08-26,2,3.6
2014-08-27,3,2.0
2014-08-28,3,0.0
2014-08-29,4,0.2
2014-08-30,5,
2014-08-31,2,0.0
2014-09-01,1,0.0
2014-09-02,3,0.0
2014-09-03,2,7.2
2014-09-04,5,7.6
2014-09-05,1,0.0
2014-09-06,1,0.0
2014-09-07,1,
2014-09-08,1,
2014-09-09,0,0.8
2014-09-10,4,0.2
2014-09-11,0,8.4
2014-09-12,3,0.4
2014-09-13,2,17.4
2014-09-14,4,
2014-09-15,1,4.2
2014-09-16,2,0.0
2014-09-17,3,9.4
2014-09-18,3,
2014-09-19,1,25.0
2014-09-20,6,
2014-09-21,1,39.2
2014-09-22,2,3.4
2014-09-23,2,0.0
2014-09-24,3,0.0
2014-09-25,0,0.2
2014-09-26,1,0.0
2014-09-27,3,0.0
2014-09-28,1,34.6
2014-09-29,3,1.6
2014-09-30,1,0.0
2014-10-01,2,0.0
2014-10-02,3,0.0
2014-10-03,3,7.4
2014-10-04,2,0.0
2014-10-05,0,0.0
2014-10-06,4,0.0
2014-10-07,3,
2014-10-08,2,33.0
2014-10-09,3,0.0
2014-10-10,1,0.0
2014-10-11,3,0.0
2014-10-12,1,0.0
2014-10-13,3,0.0
2014-10-14,3,
2014-10-15,2,13.2
2014-10-16,2,2.8
2014-10-17,2,
2014-10-18,2,0.8
2014-10-19,1,0.0
2014-10-20,4,0.0
2014-10-21,2,0.0
2014-10-22,2,0.0
2014-10-23,1,
2014-10-24,6,2.8
2014-10-25,7,3.4
2014-10-26,4,0.0
2014-10-27,0,0.0
2014-10-28,3,
2014-10-29,4,6.6
2014-10-30,2,0.0
2014-10-31,5,0.0
2014-11-01,2,0.0
2014-11-02,1,7.6
2014-11-03,1,0.0
2014-11-04,4,0.0
2014-11-05,4,0.0
2014-11-06,4,0.0
2014-11-07,2,0.0
2014-11-08,1,0.0
2014-11-09,2,
2014-11-10,3,10.0
2014-11-11,3,25.6
2014-11-12,4,0.6
2014-11-13,2,
2014-11-14,0,0.0
2014-11-15,1,0.0
2014-11-16,1,0.0
2014-11-17,2,0.0
2014-11-18,2,0.0
2014-11-19,2,0.0
2014-11-20,1,0.0
2014-11-21,4,
2014-11-22,2,3.0
2014-11-23,0,0.0
2014-11-24,4,10.0
2014-11-25,0,0.4
2014-11-26,2,0.0
2014-11-27,5,0.0
2014-11-28,2,0.0
2014-11-29,0,0.2
2014-11-30,2,0.4
2014-12-01,3,0.0
2014-12-02,4,0.0
2014-12-03,2,0.0
2014-12-04,3,0.0
2014-12-05,3,0.0
2014-12-06,2,0.0
2014-12-07,4,0.0
2014-12-08,0,0.0
2014-12-09,1,0.0
2014-12-10,3,
2014-12-11,3,22.8
2014-12-12,1,1.6
2014-12-13,0,0.0
2014-12-14,1,19.8
2014-12-15,8,2.8
2014-12-16,3,
2014-12-17,5,1.6
2014-12-18,2,0.0
2014-12-19,4,
2014-12-20,1,1.6
2014-12-21,0,0.0
2014-12-22,1,0.0
2014-12-23,0,
2014-12-24,0,0.0
2014-12-25,2,0.0
2014-12-26,0,
2014-12-27,0,11.2
2014-12-28,0,0.0
2014-12-29,1,0.0
2014-12-30,0,
2014-12-31,3,10.0
2015-01-01,2,0.0
2015-01-02,3,
2015-01-03,1,1.0
2015-01-04,1,8.2
2015-01-05,2,5.2
2015-01-06,3,0.0
2015-01-07,2,0.0
2015-01-08,2,
2015-01-09,4,1.4
2015-01-10,2,0.0
2015-01-11,2,0.0
2015-01-12,3,0.0
2015-01-13,4,
2015-01-14,3,0.4
2015-01-15,2,
2015-01-16,1,3.4
2015-01-17,2,0.0
2015-01-18,2,0.2
2015-01-19,6,0.0
2015-01-20,2,0.0
2015-01-21,3,0.0
2015-01-22,5,0.0
2015-01-23,3,5.0
2015-01-24,3,
2015-01-25,2,21.4
2015-01-26,1,0.0
2015-01-27,1,0.0
2015-01-28,2,0.0
2015-01-29,3,0.2
2015-01-30,5,
2015-01-31,1,0.0
2015-02-01,2,6.4
2015-02-02,0,
2015-02-03,1,0.0
2015-02-04,5,0.8
2015-02-05,2,0.0
2015-02-06,0,1.6
2015-02-07,4,0.0
2015-02-08,1,0.0
2015-02-09,0,0.0
2015-02-10,1,0.0
2015-02-11,3,
2015-02-12,3,0.0
2015-02-13,3,5.6
2015-02-14,3,
2015-02-15,1,0.0
2015-02-16,2,
2015-02-17,5,1.4
2015-02-18,1,0.4
2015-02-19,4,0.0
2015-02-20,0,0.6
2015-02-21,2,8.4
2015-02-22,5,
2015-02-23,2,0.2
2015-02-24,2,0.0
2015-02-25,8,0.0
2015-02-26,5,
2015-02-27,3,5.0
2015-02-28,3,0.0
2015-03-01,0,6.4
2015-03-02,0,2.4
2015-03-03,5,
2015-03-04,4,2.0
2015-03-05,3,
2015-03-06,3,0.0
2015-03-07,6,0.0
2015-03-08,1,
2015-03-09,0,0.0
2015-03-10,2,0.0
2015-03-11,6,0.6
2015-03-12,3,0.0
2015-03-13,0,0.0
2015-03-14,3,0.0
2015-03-15,1,1.6
2015-03-16,5,1.6
2015-03-17,0,0.0
2015-03-18,3,5.4
2015-03-19,3,0.0
2015-03-20,3,0.4
2015-03-21,0,0.8
2015-03-22,3,0.0
2015-03-23,6,0.0
2015-03-24,4,0.0
2015-03-25,2,0.0
2015-03-26,2,0.0
2015-03-27,0,0.0
2015-03-28,3,17.8
2015-03-29,3,4.8
2015-03-30,2,0.0
2015-03-31,4,0.6
2015-04-01,2,0.0
2015-04-02,7,0.0
2015-04-03,2,0.0
2015-04-04,0,0.0
2015-04-05,1,0.0
2015-04-06,1,0.2
2015-04-07,1,0.0
2015-04-08,1,0.0
2015-04-09,2,0.0
2015-04-10,6,0.0
2015-04-11,2,0.0
2015-04-12,3,0.0
2015-04-13,1,0.0
2015-04-14,8,0.0
2015-04-15,1,0.0
2015-04-16,4,0.0
2015-04-17,4,0.0
2015-04-18,3,0.0
2015-04-19,1,0.0
2015-04-20,0,0.0
2015-04-21,0,0.4
2015-04-22,0,0.0
